식당 ID,상호명,음식이 맛있어요 (표),2위 항목,2위 득표수 (표),2위 대비 배율 (배),득표 격차 (표),네이버 지도 링크
1165048413,원연희,42,특별한 메뉴가 있어요,27,1.56,15,https://m.place.naver.com/restaurant/1165048413
1845490410,호롱,25,친절해요,16,1.56,9,https://m.place.naver.com/restaurant/1845490410
1414485182,미미램양꼬치 홍대점,2892,고기 질이 좋아요,1868,1.55,1024,https://m.place.naver.com/restaurant/1414485182
1783218344,콘티키빠,758,기본 안주가 좋아요,489,1.55,269,https://m.place.naver.com/restaurant/1783218344
1070719351,제로밥상 연남점,622,재료가 신선해요,402,1.55,220,https://m.place.naver.com/restaurant/1070719351
1901963514,백채김치찌개 연희동점,492,양이 많아요,317,1.55,175,https://m.place.naver.com/restaurant/1901963514
2028793825,연남달빛,268,야외공간이 멋져요,173,1.55,95,https://m.place.naver.com/restaurant/2028793825
1851499166,니시무라멘 연남본점,246,특별한 메뉴가 있어요,159,1.55,87,https://m.place.naver.com/restaurant/1851499166
1243232587,두루미,228,술이 다양해요,147,1.55,81,https://m.place.naver.com/restaurant/1243232587
1666301719,라멘야누,221,혼밥하기 좋아요,143,1.55,78,https://m.place.naver.com/restaurant/1666301719
2030670276,파스티아르,79,재료가 신선해요,51,1.55,28,https://m.place.naver.com/restaurant/2030670276
1653474989,연희동 만석집,34,친절해요,22,1.55,12,https://m.place.naver.com/restaurant/1653474989
1441022454,프랭클린스델리,678,재료가 신선해요,440,1.54,238,https://m.place.naver.com/restaurant/1441022454
2052244827,우리는 모두 친구 연희,189,재료가 신선해요,123,1.54,66,https://m.place.naver.com/restaurant/2052244827
2015948308,바이트 클럽,77,재료가 신선해요,50,1.54,27,https://m.place.naver.com/restaurant/2015948308
